"","n","p","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"159",2000,500,20,128,"cuda",TRUE,500,3,FALSE,2.73386454582214
"160",2000,100,20,256,"cuda",TRUE,500,3,FALSE,1.69229078292847
"161",2000,250,20,256,"cuda",TRUE,500,3,FALSE,1.6886293888092
"162",2000,500,20,256,"cuda",TRUE,500,3,FALSE,1.69255757331848
"163",2000,100,20,16,"cpu",FALSE,500,3,FALSE,29.3175921440125
"164",2000,250,20,16,"cpu",FALSE,500,3,FALSE,29.5964074134827
"165",2000,500,20,16,"cpu",FALSE,500,3,FALSE,29.9642539024353
"166",2000,100,20,128,"cpu",FALSE,500,3,FALSE,4.36023807525635
"167",2000,250,20,128,"cpu",FALSE,500,3,FALSE,4.40530443191528
"168",2000,500,20,128,"cpu",FALSE,500,3,FALSE,4.56096339225769
"169",2000,100,20,256,"cpu",FALSE,500,3,FALSE,2.99738430976868
"170",2000,250,20,256,"cpu",FALSE,500,3,FALSE,2.66814684867859
"171",2000,500,20,256,"cpu",FALSE,500,3,FALSE,2.926185131073
"172",2000,100,20,16,"cuda",FALSE,500,3,FALSE,18.0146539211273
"173",2000,250,20,16,"cuda",FALSE,500,3,FALSE,18.2004463672638
"174",2000,500,20,16,"cuda",FALSE,500,3,FALSE,18.2879066467285
"175",2000,100,20,128,"cuda",FALSE,500,3,FALSE,2.41595554351807
"176",2000,250,20,128,"cuda",FALSE,500,3,FALSE,2.37755942344666
"177",2000,500,20,128,"cuda",FALSE,500,3,FALSE,2.42659425735474
"178",2000,100,20,256,"cuda",FALSE,500,3,FALSE,1.25811409950256
"179",2000,250,20,256,"cuda",FALSE,500,3,FALSE,1.24992775917053
"180",2000,500,20,256,"cuda",FALSE,500,3,FALSE,1.2606885433197
"181",2000,100,20,16,"cpu",TRUE,1000,3,FALSE,1.66032079458237
"182",2000,250,20,16,"cpu",TRUE,1000,3,FALSE,1.43489522139231
"183",2000,500,20,16,"cpu",TRUE,1000,3,FALSE,1.34138046105703
"184",2000,100,20,128,"cpu",TRUE,1000,3,FALSE,12.1660072803497
"185",2000,250,20,128,"cpu",TRUE,1000,3,FALSE,12.2502598762512
"186",2000,500,20,128,"cpu",TRUE,1000,3,FALSE,12.9607443809509
"187",2000,100,20,256,"cpu",TRUE,1000,3,FALSE,6.49811935424805
"188",2000,250,20,256,"cpu",TRUE,1000,3,FALSE,7.33398628234863
"189",2000,500,20,256,"cpu",TRUE,1000,3,FALSE,6.82526898384094
"190",2000,100,20,16,"cuda",TRUE,1000,3,FALSE,17.5604374408722
"191",2000,250,20,16,"cuda",TRUE,1000,3,FALSE,17.7917630672455
"192",2000,500,20,16,"cuda",TRUE,1000,3,FALSE,17.4370074272156
"193",2000,100,20,128,"cuda",TRUE,1000,3,FALSE,2.69700789451599
"194",2000,250,20,128,"cuda",TRUE,1000,3,FALSE,2.69855856895447
"195",2000,500,20,128,"cuda",TRUE,1000,3,FALSE,2.76041030883789
"196",2000,100,20,256,"cuda",TRUE,1000,3,FALSE,1.63869667053223
"197",2000,250,20,256,"cuda",TRUE,1000,3,FALSE,1.6405565738678
"198",2000,500,20,256,"cuda",TRUE,1000,3,FALSE,1.67400765419006
"199",2000,100,20,16,"cpu",FALSE,1000,3,FALSE,42.8294837474823
"200",2000,250,20,16,"cpu",FALSE,1000,3,FALSE,42.4002315998077
"201",2000,500,20,16,"cpu",FALSE,1000,3,FALSE,42.9299628734589
"202",2000,100,20,128,"cpu",FALSE,1000,3,FALSE,7.37468791007996
