"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time1","time2","loss"
"143",2000,500,"adam",40,512,"cuda",FALSE,100,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"144",2000,500,"sgd",40,512,"cuda",FALSE,100,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"145",2000,500,"adam",20,16,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"146",2000,500,"sgd",20,16,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"147",2000,500,"adam",40,16,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"148",2000,500,"sgd",40,16,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"149",2000,500,"adam",20,256,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"150",2000,500,"sgd",20,256,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"151",2000,500,"adam",40,256,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"152",2000,500,"sgd",40,256,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"153",2000,500,"adam",20,512,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"154",2000,500,"sgd",20,512,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"155",2000,500,"adam",40,512,"cpu",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"156",2000,500,"sgd",40,512,"cpu",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"157",2000,500,"adam",20,16,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"158",2000,500,"sgd",20,16,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"159",2000,500,"adam",40,16,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"160",2000,500,"sgd",40,16,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"161",2000,500,"adam",20,256,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"162",2000,500,"sgd",20,256,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"163",2000,500,"adam",40,256,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"164",2000,500,"sgd",40,256,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"165",2000,500,"adam",20,512,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"166",2000,500,"sgd",20,512,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"167",2000,500,"adam",40,512,"cuda",TRUE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"168",2000,500,"sgd",40,512,"cuda",TRUE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"169",2000,500,"adam",20,16,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"170",2000,500,"sgd",20,16,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"171",2000,500,"adam",40,16,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"172",2000,500,"sgd",40,16,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"173",2000,500,"adam",20,256,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"174",2000,500,"sgd",20,256,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"175",2000,500,"adam",40,256,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"176",2000,500,"sgd",40,256,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"177",2000,500,"adam",20,512,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"178",2000,500,"sgd",20,512,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"179",2000,500,"adam",40,512,"cpu",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"180",2000,500,"sgd",40,512,"cpu",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"181",2000,500,"adam",20,16,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"182",2000,500,"sgd",20,16,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"183",2000,500,"adam",40,16,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
"184",2000,500,"sgd",40,16,"cuda",FALSE,1000,10,FALSE,3.14681077003479,5.99968123435974,0.00408929260447621
"185",2000,500,"adam",20,256,"cuda",FALSE,1000,10,FALSE,6.79458165168762,13.1138119697571,0.0317014269530773
