"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"137",2000,500,"adam",20,256,"cuda",FALSE,100,10,FALSE,3.00618886947632
"138",2000,500,"sgd",20,256,"cuda",FALSE,100,10,FALSE,1.08552765846252
"139",2000,500,"adam",40,256,"cuda",FALSE,100,10,FALSE,5.96971321105957
"140",2000,500,"sgd",40,256,"cuda",FALSE,100,10,FALSE,2.0448682308197
"141",2000,500,"adam",20,512,"cuda",FALSE,100,10,FALSE,1.52168536186218
"142",2000,500,"sgd",20,512,"cuda",FALSE,100,10,FALSE,0.562015056610107
"143",2000,500,"adam",40,512,"cuda",FALSE,100,10,FALSE,2.93172883987427
"144",2000,500,"sgd",40,512,"cuda",FALSE,100,10,FALSE,1.1505126953125
"145",2000,500,"adam",20,16,"cpu",TRUE,1000,10,FALSE,418.614998579025
"146",2000,500,"sgd",20,16,"cpu",TRUE,1000,10,FALSE,302.248022079468
"147",2000,500,"adam",40,16,"cpu",TRUE,1000,10,FALSE,788.276780366898
"148",2000,500,"sgd",40,16,"cpu",TRUE,1000,10,FALSE,678.49037194252
"149",2000,500,"adam",20,256,"cpu",TRUE,1000,10,FALSE,31.7014434337616
"150",2000,500,"sgd",20,256,"cpu",TRUE,1000,10,FALSE,22.8653795719147
"151",2000,500,"adam",40,256,"cpu",TRUE,1000,10,FALSE,61.2160692214966
"152",2000,500,"sgd",40,256,"cpu",TRUE,1000,10,FALSE,47.5827248096466
"153",2000,500,"adam",20,512,"cpu",TRUE,1000,10,FALSE,14.2103004455566
"154",2000,500,"sgd",20,512,"cpu",TRUE,1000,10,FALSE,13.40172290802
"155",2000,500,"adam",40,512,"cpu",TRUE,1000,10,FALSE,29.7148458957672
"156",2000,500,"sgd",40,512,"cpu",TRUE,1000,10,FALSE,20.7586061954498
"157",2000,500,"adam",20,16,"cuda",TRUE,1000,10,FALSE,44.2205142974854
"158",2000,500,"sgd",20,16,"cuda",TRUE,1000,10,FALSE,12.0412540435791
"159",2000,500,"adam",40,16,"cuda",TRUE,1000,10,FALSE,80.3380219936371
"160",2000,500,"sgd",40,16,"cuda",TRUE,1000,10,FALSE,23.3362424373627
"161",2000,500,"adam",20,256,"cuda",TRUE,1000,10,FALSE,3.17044687271118
"162",2000,500,"sgd",20,256,"cuda",TRUE,1000,10,FALSE,1.30674886703491
"163",2000,500,"adam",40,256,"cuda",TRUE,1000,10,FALSE,5.77213335037231
"164",2000,500,"sgd",40,256,"cuda",TRUE,1000,10,FALSE,2.0435528755188
"165",2000,500,"adam",20,512,"cuda",TRUE,1000,10,FALSE,1.92595338821411
"166",2000,500,"sgd",20,512,"cuda",TRUE,1000,10,FALSE,1.07285070419312
"167",2000,500,"adam",40,512,"cuda",TRUE,1000,10,FALSE,3.33867835998535
"168",2000,500,"sgd",40,512,"cuda",TRUE,1000,10,FALSE,1.34274077415466
"169",2000,500,"adam",20,16,"cpu",FALSE,1000,10,FALSE,144.201540708542
"170",2000,500,"sgd",20,16,"cpu",FALSE,1000,10,FALSE,62.461199760437
"171",2000,500,"adam",40,16,"cpu",FALSE,1000,10,FALSE,291.019638776779
"172",2000,500,"sgd",40,16,"cpu",FALSE,1000,10,FALSE,122.401657342911
"173",2000,500,"adam",20,256,"cpu",FALSE,1000,10,FALSE,14.7092280387878
"174",2000,500,"sgd",20,256,"cpu",FALSE,1000,10,FALSE,9.33696603775024
"175",2000,500,"adam",40,256,"cpu",FALSE,1000,10,FALSE,30.7652015686035
"176",2000,500,"sgd",40,256,"cpu",FALSE,1000,10,FALSE,17.8308415412903
"177",2000,500,"adam",20,512,"cpu",FALSE,1000,10,FALSE,11.5991969108582
"178",2000,500,"sgd",20,512,"cpu",FALSE,1000,10,FALSE,9.7288966178894
"179",2000,500,"adam",40,512,"cpu",FALSE,1000,10,FALSE,20.0465316772461
"180",2000,500,"sgd",40,512,"cpu",FALSE,1000,10,FALSE,16.6289215087891
"181",2000,500,"adam",20,16,"cuda",FALSE,1000,10,FALSE,51.0544259548187
"182",2000,500,"sgd",20,16,"cuda",FALSE,1000,10,FALSE,15.3822782039642
"183",2000,500,"adam",40,16,"cuda",FALSE,1000,10,FALSE,90.550785779953
"184",2000,500,"sgd",40,16,"cuda",FALSE,1000,10,FALSE,32.9525315761566
"185",2000,500,"adam",20,256,"cuda",FALSE,1000,10,FALSE,2.9610812664032
"186",2000,500,"sgd",20,256,"cuda",FALSE,1000,10,FALSE,1.09622836112976
"187",2000,500,"adam",40,256,"cuda",FALSE,1000,10,FALSE,6.06947779655457
"188",2000,500,"sgd",40,256,"cuda",FALSE,1000,10,FALSE,2.14107465744019
"189",2000,500,"adam",20,512,"cuda",FALSE,1000,10,FALSE,1.56535935401917
"190",2000,500,"sgd",20,512,"cuda",FALSE,1000,10,FALSE,0.575565576553345
"191",2000,500,"adam",40,512,"cuda",FALSE,1000,10,FALSE,2.92736101150513
"192",2000,500,"sgd",40,512,"cuda",FALSE,1000,10,FALSE,1.10090184211731
"193",2000,500,"adam",20,16,"cpu",TRUE,100,20,FALSE,91.8442120552063
"194",2000,500,"sgd",20,16,"cpu",TRUE,100,20,FALSE,19.1438567638397
"195",2000,500,"adam",40,16,"cpu",TRUE,100,20,FALSE,182.428091526031
"196",2000,500,"sgd",40,16,"cpu",TRUE,100,20,FALSE,37.2636759281158
"197",2000,500,"adam",20,256,"cpu",TRUE,100,20,FALSE,9.19677329063416
"198",2000,500,"sgd",20,256,"cpu",TRUE,100,20,FALSE,4.15139937400818
"199",2000,500,"adam",40,256,"cpu",TRUE,100,20,FALSE,15.9911336898804
"200",2000,500,"sgd",40,256,"cpu",TRUE,100,20,FALSE,6.36800050735474
"201",2000,500,"adam",20,512,"cpu",TRUE,100,20,FALSE,5.43046951293945
"202",2000,500,"sgd",20,512,"cpu",TRUE,100,20,FALSE,3.15274000167847
"203",2000,500,"adam",40,512,"cpu",TRUE,100,20,FALSE,9.32926678657532
"204",2000,500,"sgd",40,512,"cpu",TRUE,100,20,FALSE,4.89473056793213
"205",2000,500,"adam",20,16,"cuda",TRUE,100,20,FALSE,74.613655090332
"206",2000,500,"sgd",20,16,"cuda",TRUE,100,20,FALSE,18.5188863277435
"207",2000,500,"adam",40,16,"cuda",TRUE,100,20,FALSE,148.303218841553
"208",2000,500,"sgd",40,16,"cuda",TRUE,100,20,FALSE,42.9198496341705
"209",2000,500,"adam",20,256,"cuda",TRUE,100,20,FALSE,5.65758442878723
"210",2000,500,"sgd",20,256,"cuda",TRUE,100,20,FALSE,1.98348450660706
"211",2000,500,"adam",40,256,"cuda",TRUE,100,20,FALSE,10.4066505432129
"212",2000,500,"sgd",40,256,"cuda",TRUE,100,20,FALSE,3.14977550506592
"213",2000,500,"adam",20,512,"cuda",TRUE,100,20,FALSE,3.18297672271729
"214",2000,500,"sgd",20,512,"cuda",TRUE,100,20,FALSE,1.38284969329834
"215",2000,500,"adam",40,512,"cuda",TRUE,100,20,FALSE,5.67811059951782
"216",2000,500,"sgd",40,512,"cuda",TRUE,100,20,FALSE,2.00012850761414
"217",2000,500,"adam",20,16,"cpu",FALSE,100,20,FALSE,98.9564743041992
"218",2000,500,"sgd",20,16,"cpu",FALSE,100,20,FALSE,25.0450792312622
"219",2000,500,"adam",40,16,"cpu",FALSE,100,20,FALSE,200.849876880646
"220",2000,500,"sgd",40,16,"cpu",FALSE,100,20,FALSE,51.3390793800354
"221",2000,500,"adam",20,256,"cpu",FALSE,100,20,FALSE,7.61794185638428
"222",2000,500,"sgd",20,256,"cpu",FALSE,100,20,FALSE,2.67745399475098
"223",2000,500,"adam",40,256,"cpu",FALSE,100,20,FALSE,14.5010004043579
"224",2000,500,"sgd",40,256,"cpu",FALSE,100,20,FALSE,5.15994429588318
"225",2000,500,"adam",20,512,"cpu",FALSE,100,20,FALSE,4.22972917556763
"226",2000,500,"sgd",20,512,"cpu",FALSE,100,20,FALSE,1.95922303199768
"227",2000,500,"adam",40,512,"cpu",FALSE,100,20,FALSE,8.57979321479797
"228",2000,500,"sgd",40,512,"cpu",FALSE,100,20,FALSE,3.84583139419556
"229",2000,500,"adam",20,16,"cuda",FALSE,100,20,FALSE,84.9323809146881
"230",2000,500,"sgd",20,16,"cuda",FALSE,100,20,FALSE,26.0841047763824
"231",2000,500,"adam",40,16,"cuda",FALSE,100,20,FALSE,168.503837108612
"232",2000,500,"sgd",40,16,"cuda",FALSE,100,20,FALSE,54.6002805233002
"233",2000,500,"adam",20,256,"cuda",FALSE,100,20,FALSE,5.47014188766479
"234",2000,500,"sgd",20,256,"cuda",FALSE,100,20,FALSE,1.76318526268005
"235",2000,500,"adam",40,256,"cuda",FALSE,100,20,FALSE,10.7681534290314
"236",2000,500,"sgd",40,256,"cuda",FALSE,100,20,FALSE,3.47498559951782
"237",2000,500,"adam",20,512,"cuda",FALSE,100,20,FALSE,3.02241992950439
"238",2000,500,"sgd",20,512,"cuda",FALSE,100,20,FALSE,0.909744501113892
"239",2000,500,"adam",40,512,"cuda",FALSE,100,20,FALSE,5.52593445777893
"240",2000,500,"sgd",40,512,"cuda",FALSE,100,20,FALSE,1.76683187484741
"241",2000,500,"adam",20,16,"cpu",TRUE,1000,20,FALSE,587.293853521347
"242",2000,500,"sgd",20,16,"cpu",TRUE,1000,20,FALSE,446.922977924347
"243",2000,500,"adam",40,16,"cpu",TRUE,1000,20,FALSE,1233.83905410767
"244",2000,500,"sgd",40,16,"cpu",TRUE,1000,20,FALSE,878.379608869553
"245",2000,500,"adam",20,256,"cpu",TRUE,1000,20,FALSE,48.82248878479
"246",2000,500,"sgd",20,256,"cpu",TRUE,1000,20,FALSE,31.2003908157349
"247",2000,500,"adam",40,256,"cpu",TRUE,1000,20,FALSE,96.114025592804
"248",2000,500,"sgd",40,256,"cpu",TRUE,1000,20,FALSE,73.0232014656067
